SOLEL,Solar Elevation Angle,radian
SOLZE,Solar Zenith Angle,radian
SPHUM,Specific Humidity,gram/kg
SSLIP,"Sideslip Angle, Reference",degree
SSRD,"Sideslip Angle, Radome Diff. Pressure",degree
TACTU_WYO,UHSAS Total Counts (all cells),count
TASDRY,"Aircraft True Airpseed, Dry Air",m/s
TASFLG,True Airpseed Humidity Correction Flag,bool
TASFR,"Aircraft True Airspeed, Fuselage Right",m/s
TASX,"Aircraft True Airspeed, Reference",m/s
TAS_RPC,Fast 2DC Diode TAS,m/s
TBACK_CVI,CVI Temperature back,deg_C
TCNTD_LWI,CDP Total Counts (all cells),count
TCNTD_LWO,CDP Total Counts (all cells),count
TCNTP_RWO,PCAS Total Counts (all cells),count
TCNTU_WYO,UHSAS Total Counts (all cells),count
TEXT_CVI,CVI External Temperature,deg_C
TFAN_CVI,CVI Fan Temperature,deg_C
TFLOW_CFDC,CFDC Total Flow,L/min
THDG,IRS Aircraft True Heading Angle,degree_T
THETA,Potential Temperature,K
THETAE,Equivalent Potential Temperature,K
THETAP,Pseudo-adiabatic Equivalent Potential Temperature,K
THETAQ,Wet Equivalent Potential Temperature,K
THETAV,Virtual Potential Temperature,K
TKAT,IRS Aircraft Track Angle,degree_T
TOPTMP,W-CCN top plate temperature,V
TRSTB,RSTB Sensor Heater Unit Settings,deg_C
TVIR,Virtual Temperature,deg_C
TWC_WVISO2,total water content,g/m3
T_ARI,Aerodyne Mini 108 Temperature,K
T_SDI,SDI Flowmeter Air Temperature,deg_C
UACC_WYO,UHSAS Accumulation,sec
UCURR_WYO,UHSAS Laser Current,V
UFLWC_WYO,UHSAS Sample Flow at Ambient Conditions,vol cm3/s
UFT_4,Under Floor Temperature,deg_C
UHSAS011_bnds,lower and upper bounds for UHSAS_WYO,um
UIC,"GPS-Corrected Wind Vector, East Component",m/s
ULSRTEMP_WYO,UHSAS Laser Temperature,V
UPRESS_WYO,UHSAS Absolute Pressure,kPa
UPRGFLW_WYO,UHSAS Purge Flow,sccm
UREF_WYO,UHSAS Reference Intensity,V
USCAT_WYO,UHSAS Background Scatter,V
USHFLW_WYO,UHSAS Air Sheath Flow,sccm
USMPFLW_WYO,UHSAS Sample Flow,sccm
USRFLW_CVI,CVI User Flow,slpm
UTMP_WYO,UHSAS Absolute Temperature,K
UTSEC_GPDACQ_319,Time; Seconds Since Midnight,seconds
UTSEC_TDACQ_321,Time; Seconds Since Midnight,seconds
UXC,"GPS-Corrected Wind Vector, Longitudinal Component",m/s
VCOLLWC_NEV,Nevzorov LWC collector voltage,V
VCOLTWC_NEV,Nevzorov TWC collector voltage,V
VDET,W-CCN detector,V
VEW,"IRS Ground Speed Vector, East Component",m/s
VEWC,"GPS-Corrected Inertial Ground Speed Vector, East Component",m/s
VIC,"GPS-Corrected Wind Vector, North Component",m/s
VISBC,"Corrected Visable Irradiance, Bottom",W/m2
VISBHT,"Pyrgeometer (Visible) Housing Temperature, Bottom",V
VISTC,"Corrected Visable Irradiance, Top",W/m2
VISTHT,"Pyrgeometer (Visible) Housing Temperature, Top",V
VMR_VXL,Volume Mixing Ratio,ppmv
VNS,"IRS Ground Speed Vector, North Component",m/s
VNSC,"GPS-Corrected Inertial Ground Speed Vector, North Component",m/s
VREFLWC_NEV,Nevzorov LWC reference voltage,V
VREFTWC_NEV,Nevzorov TWC reference voltage,V
VSPD,IRS Vertical Speed,m/s
VYC,"GPS-Corrected Wind Vector, Lateral Component",m/s
WDC,GPS-Corrected Horizontal Wind Direction,degree_T
WIC,"GPS-Corrected Wind Vector, Vertical Gust Component",m/s
WINDSFLG,"Winds Quality (0=good, 1-3=bad inputs, 4-6=icing)",none
WIX,"GPS-Corrected Wind Vector, Vertical Gust Component",m/s
WIY,"GPS-Corrected Wind Vector, Vertical Gust Component",m/s
WSC,GPS-Corrected Horizontal Wind Speed,m/s
XICN,BCN Isokinetic Side Flow Rate,vlpm
XICNC,Corrected CN Isokinetic Side Flow Rate,vlpm
ZERO,Constant value of 0.,none
cutsize_CVI,CVI cut size,micrometers
d18O_WVISO1,oxygen water isotope ratio (units permil),1e-3
d18O_WVISO2,oxygen water isotope ratio (units permil),1e-3
dD_WVISO1,hydrogen water isotope ratio (units permil),1e-3
dD_WVISO2,hydrogen water isotope ratio (units permil),1e-3
enhancement_CVI,CVI enhancement factor,""
excess_CVI,CVI counterflow exess,SLPM
flow_CVI,CVI inlet flow,SLPM
mr_WVISO1,mixing ratio,g/kg
mr_WVISO2,total water mixing ratio,g/kg
quality_CVI,measurement quality flag,""
quality_WVISO1,measurement quality flag,""
quality_WVISO2,measurement quality flag,""
target_CVI,measurement target flag,""
target_WVISO1,measurement target flag,""
target_WVISO2,measurement target flag,""
CDP016,CDP_LWI arithmetic midpoint bin size in diameter,um
CDP058,CDP_LWO arithmetic midpoint bin size in diameter,um
F2DC001_P2D,"",""
F2DS020_P2D,F2DS arithmetic midpoint bin size in diameter,um
HVPS315_P2D,HVPS arithmetic midpoint bin size in diameter,um
PCAS108,S200_RWO arithmetic midpoint bin size in diameter,um
Time,time of measurement,seconds since 2024-04-02 00:00:00 +0000
UHSAS011,UHSAS_WYO arithmetic midpoint bin size in diameter,um
interarrival_endpoints,"",""
